,Unnamed: 0,station_name,station_name_kana,fuken_id,type,Latitude (degree),Latitude (minute),latitude,Longitude (degree),Longitude (minute),longitude,height,f_pre,f_wsd,f_tem,f_sun,f_snc,End_year,End_month,End_day,obs_ended,note1,note2,note3,note4,note5,amedas_id1,amedas_id2,station_name_roman
47588,480,山形,ヤマガタ,35,S,38,15.3,38.255,140,20.7,140.345,152.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,35426.0,35927.0,Yamagata
47590,441,仙台,センダイ,34,S,38,15.7,38.2616666667,140,53.8,140.896666667,38.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,34392.0,34917.0,Sendai
47592,438,石巻,イシノマキ,34,S,38,25.6,38.4266666667,141,17.9,141.298333333,42.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,34292.0,34913.0,Ishinomaki
47595,514,福島,フクシマ,36,S,37,45.5,37.7583333333,140,28.2,140.47,67.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36126.0,36955.0,Fukushima
47597,532,白河,シラカワ,36,S,37,7.9,37.1316666667,140,12.9,140.215,355.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36667.0,36937.0,Shirakawa
47598,539,小名浜,オナハマ,36,S,36,56.8,36.9466666667,140,54.2,140.903333333,3.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,36846.0,,Onahama
47600,996,輪島,ワジマ,56,S,37,23.5,37.3916666667,136,53.7,136.895,5.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,56052.0,56903.0,Wajima
47602,919,相川,アイカワ,54,S,38,1.7,38.0283333333,138,14.4,138.24,5.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,54157.0,54900.0,Aikawa
47604,921,新潟,ニイガタ,54,S,37,54.7,37.9116666667,139,2.8,139.046666667,1.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,54232.0,54907.0,Niigata
47605,1004,金沢,カナザワ,56,S,36,35.3,36.5883333333,136,38.0,136.633333333,5.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,56227.0,56907.0,Kanazawa
47606,976,伏木,フシキ,55,S,36,47.5,36.7916666667,137,3.3,137.055,11.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,55091.0,55907.0,Fushiki
47607,977,富山,トヤマ,55,S,36,42.5,36.7083333333,137,12.1,137.201666667,8.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,55102.0,55908.0,Toyama
47610,710,長野,ナガノ,48,S,36,39.7,36.6616666667,138,11.5,138.191666667,418.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,48156.0,48925.0,Nagano
47612,937,高田,タカダ,54,S,37,6.4,37.1066666667,138,14.8,138.246666667,12.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,54651.0,54937.0,Takada
47615,597,宇都宮,ウツノミヤ,41,S,36,32.9,36.5483333333,139,52.1,139.868333333,119.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,41277.0,41915.0,Utsunomiya
47616,1013,福井,フクイ,57,S,36,3.3,36.055,136,13.3,136.221666667,8.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,57066.0,57903.0,Fukui
47617,845,高山,タカヤマ,52,S,36,9.3,36.155,137,15.2,137.253333333,560.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,52146.0,52913.0,Takayama
47618,719,松本,マツモト,48,S,36,14.7,36.245,137,58.2,137.97,610.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,48361.0,48936.0,Matsumoto
47620,724,諏訪,スワ,48,S,36,2.7,36.045,138,6.5,138.108333333,760.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,48491.0,48937.0,Suwa
47622,718,軽井沢,カルイザワ,48,S,36,20.5,36.3416666667,138,32.8,138.546666667,999.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,48331.0,48938.0,Karuizawa
47624,619,前橋,マエバシ,42,S,36,24.3,36.405,139,3.6,139.06,112.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,42251.0,42915.0,Maebashi
47626,635,熊谷,クマガヤ,43,S,36,9.0,36.15,139,22.8,139.38,30.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,43056.0,43905.0,Kumagaya
47629,565,水戸,ミト,40,S,36,22.8,36.38,140,28.0,140.466666667,29.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,40201.0,40900.0,Mito
47631,1019,敦賀,ツルガ,57,S,35,39.2,35.6533333333,136,3.7,136.061666667,1.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,57248.0,57913.0,Tsuruga
47632,866,岐阜,ギフ,52,S,35,24.0,35.4,136,45.7,136.761666667,12.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,52586.0,52940.0,Gifu
47636,822,名古屋,ナゴヤ,51,S,35,10.0,35.1666666667,136,57.9,136.965,51.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,51106.0,51900.0,Nagoya
47637,739,飯田,イイダ,48,S,35,31.4,35.5233333333,137,49.3,137.821666667,516.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,48767.0,48945.0,Iida
47638,770,甲府,コウフ,49,S,35,40.0,35.6666666667,138,33.2,138.553333333,272.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,49142.0,49900.0,Koufu
47640,775,河口湖,カワグチコ,49,S,35,30.0,35.5,138,45.6,138.76,859.6,Y,Y,Y,Y,Y,9999,99,99,,1968年3月29日までの地点名「船津」,,,,,49251.0,49905.0,Kawaguchiko
47641,637,秩父,チチブ,43,S,35,59.4,35.99,139,4.4,139.073333333,232.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,43156.0,43900.0,Chichibu
47646,584,つくば(館野),ツクバ（タテノ）,40,S,36,3.4,36.0566666667,140,7.5,140.125,25.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,40336.0,,Tsukuba（Tateno）
47648,680,銚子,チヨウシ,45,S,35,44.3,35.7383333333,140,51.4,140.856666667,20.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,45147.0,45900.0,Chiyoushi
47649,895,上野,ウエノ,53,S,34,45.7,34.7616666667,136,8.5,136.141666667,159.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,53112.0,,Ueno
47651,897,津,ツ,53,S,34,44.0,34.7333333333,136,31.1,136.518333333,2.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,53132.0,,Tsu
47653,830,伊良湖,イラコ,51,S,34,37.7,34.6283333333,137,5.6,137.093333333,6.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,51346.0,,Irako
47654,799,浜松,ハママツ,50,S,34,42.5,34.7083333333,137,43.1,137.718333333,31.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,50456.0,,Hamamatsu
47655,802,御前崎,オマエザキ,50,S,34,36.2,34.6033333333,138,12.7,138.211666667,44.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,50551.0,,Omaezaki
47656,793,静岡,シズオカ,50,S,34,58.5,34.975,138,24.2,138.403333333,14.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,50331.0,,Shizuoka
47657,787,三島,ミシマ,50,S,35,6.8,35.1133333333,138,55.5,138.925,20.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,50206.0,,Mishima
47662,654,東京,トウキヨウ,44,S,35,41.4,35.69,139,45.6,139.76,6.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,44132.0,44900.0,Toukiyou
47663,903,尾鷲,オワセ,53,S,34,4.2,34.07,136,11.6,136.193333333,15.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,53378.0,,Owase
47666,803,石廊崎,イロウザキ,50,S,34,36.2,34.6033333333,138,50.5,138.841666667,54.7,Y,Y,Y,Y,Y,9999,99,99,,1968年3月29日までの地点名「長津呂」,,,,,50561.0,,Irouzaki
47668,791,網代,アジロ,50,S,35,2.7,35.045,139,5.5,139.091666667,66.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,50281.0,,Ajiro
47670,696,横浜,ヨコハマ,46,S,35,26.3,35.4383333333,139,39.1,139.651666667,39.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,46106.0,46900.0,Yokohama
47674,686,勝浦,カツウラ,45,S,35,9.0,35.15,140,18.7,140.311666667,11.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,45371.0,,Katsuura
47675,657,大島,オオシマ,44,S,34,44.9,34.7483333333,139,21.7,139.361666667,74.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,44172.0,,Ooshima
47677,658,三宅島,ミヤケジマ,44,S,34,7.4,34.1233333333,139,31.3,139.521666667,36.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,44226.0,,Miyakejima
47678,659,八丈島,ハチジヨウ,44,S,33,7.3,33.1216666667,139,46.7,139.778333333,151.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,44263.0,,Hachijiyou
47690,593,奥日光(日光),オクニッコウ（ニッコウ）,41,S,36,44.3,36.7383333333,139,30.0,139.5,1291.9,Y,Y,Y,Y,Y,9999,99,99,,1968年3月29日までの地点名「中宮祠」,,,,,41166.0,41910.0,Okunikkou（Nikkou）
47740,1229,西郷,サイゴウ,68,S,36,12.2,36.2033333333,133,20.0,133.333333333,26.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,68022.0,68955.0,Saigou
47741,1233,松江,マツエ,68,S,35,27.4,35.4566666667,133,3.9,133.065,16.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,68132.0,68960.0,Matsue
47742,1262,境,サカイ,69,S,35,32.6,35.5433333333,133,14.1,133.235,2.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,69006.0,69910.0,Sakai
47744,1266,米子,ヨナゴ,69,S,35,26.0,35.4333333333,133,20.3,133.338333333,6.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,69076.0,69930.0,Yonago
47746,1264,鳥取,トツトリ,69,S,35,29.2,35.4866666667,134,14.3,134.238333333,7.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,69122.0,69940.0,Totsutori
47747,1087,豊岡,トヨオカ,63,S,35,32.1,35.535,134,49.3,134.821666667,3.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,63051.0,63905.0,Toyooka
47750,1050,舞鶴,マイヅル,61,S,35,27.0,35.45,135,19.0,135.316666667,2.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,61111.0,61905.0,Maiduru
47754,1360,萩,ハギ,81,S,34,24.6,34.41,131,24.3,131.405,2.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,81071.0,,Hagi
47755,1240,浜田,ハマダ,68,S,34,53.8,34.8966666667,132,4.2,132.07,19.0,Y,Y,Y,Y,Y,9999,99,99,,,,,,,68376.0,,Hamada
47756,1165,津山,ツヤマ,66,S,35,3.8,35.0633333333,134,0.5,134.008333333,145.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,66186.0,66920.0,Tsuyama
47759,1057,京都,キヨウト,61,S,35,0.9,35.015,135,43.9,135.731666667,41.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,61286.0,61915.0,Kiyouto
47761,1034,彦根,ヒコネ,60,S,35,16.5,35.275,136,14.6,136.243333333,87.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,60131.0,60915.0,Hikone
47762,1371,下関,シモノセキ,81,S,33,56.9,33.9483333333,130,55.5,130.925,3.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,81428.0,,Shimonoseki
47765,1204,広島,ヒロシマ,67,S,34,23.9,34.3983333333,132,27.7,132.461666667,3.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,67437.0,,Hiroshima
47766,1208,呉,クレ,67,S,34,14.4,34.24,132,33.0,132.55,3.5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,67511.0,,Kure
